0.000000	134.078207	speaker1
136.693616	145.616779	speaker2
146.078321	156.866886	speaker3
157.559201	159.501527	speaker2
159.828453	168.674692	speaker3
168.963156	178.386323	speaker2
178.886328	187.809490	speaker3
188.347957	191.732605	speaker2
192.501843	197.078810	speaker3
197.424967	215.848220	speaker2
216.078992	220.655958	speaker3
221.348273	229.925278	speaker2
230.117588	235.309945	speaker3
235.579178	253.771660	speaker2
254.002432	258.271703	speaker3
258.694784	274.233394	speaker2
274.464166	283.848871	speaker3
284.348876	292.156643	speaker2
292.425876	294.848976	speaker3
295.118210	304.579839	speaker2
304.925996	312.233758	speaker3
312.733763	324.310797	speaker2
325.003111	329.810850	speaker1
329.964697	344.426374	speaker2
345.003303	347.772560	speaker1
347.811022	354.503394	speaker2
354.676472	358.041889	speaker1
